hskId,simplified,traditional,pinyin,definitions,book,hsk,lesson,dialog,nw,example,exampleTranslation,oofc,pn,weight,index
1,你,你,nǐ,"you (informal, as opposed to courteous 您[nín])",1,1,1,1,1,你今天有心思学习吗？,Are you in tune for study today?,,,47609,0
2,好,好,hǎo,good/well/proper/good to/easy to/very/so/(suffix indicating completion or readiness)/(of two people) close/on intimate terms/(after a personal pronoun) hello,1,1,1,1,2,要发音好就必须自觉地学习语音。,To have a good pronunciation you have to study phonetics conscientiously.,,,14732,0
4,你们,你們,nǐ men,you (plural),1,1,1,2,4,请你们研究一下。,I hope you will study these questions.,,,9116,0
5,对不起,對不起,duì bu qǐ,unworthy/to let down/I'm sorry/excuse me/pardon me/if you please/sorry? (please repeat),1,1,1,3,5,对不起，委屈你了。,Sorry to have troubled you with all such inconvenience.,,,138,0
6,没关系,沒關係,méi guān xi,it doesn't matter,1,1,1,3,6,你如果迟到也没关系。,It doesn’t matter if you are late.,,,57,0
7,谢谢,謝謝,xiè xie,to thank/thanks/thank you,1,1,2,1,1,谢谢你，朋友。,"Thank you, [my] friend.",,,645,0
8,不,不,bù,(negative prefix)/not/no,1,1,2,1,2,她一点不爱做家务。,She is not at all domesticated.,,,21764,0
9,不客气,不客氣,bù kè qi,you're welcome/don't mention it/impolite/rude/blunt,1,1,2,2,3,不客气。,You are very welcome.,,,6,0
10,再见,再見,zài jiàn,goodbye/see you again later,1,1,2,3,4,再见，小林。,"Good-bye, Xiao Lin.",,,156,0
11,叫,叫,jiào,to shout/to call/to order/to ask/to be called/by (indicates agent in the passive mood),1,1,3,1,1,我叫珍妮，很高兴认识你。,My name is Jenny. Nice to meet you.,,,3125,0
11,叫,呌,jiào,variant of 叫[jiào],1,1,3,1,1,我叫珍妮，很高兴认识你。,My name is Jenny. Nice to meet you.,,,3119,0
12,什么,什麼,shén me,what?/something/anything,1,1,3,1,2,学习一门外语的最佳途径是什么呢？,Which is the best way to learn a language?,,,15654,0
13,名字,名字,míng zi,name (of a person or thing)/CL:個|个[gè],1,1,3,1,3,这里没有人叫那个名字。,No one lives here by that name.,,,914,0
14,我,我,wǒ,I/me/my,1,1,3,1,4,我想跟她谈谈我的薪水问题。,I want to speak to her in the matter of my salary.,,,58707,0
15,是,是,shì,is/are/am/yes/to be,1,1,3,2,5,你上学时学的都是哪些语言？,Which languages did you study at school?,,,59784,0
15,是,昰,shì,variant of 是[shì]/(used in given names),1,1,3,2,5,你上学时学的都是哪些语言？,Which languages did you study at school?,,,59747,0
16,老师,老師,lǎo shī,"teacher/CL:個|个[gè],位[wèi]",1,1,3,2,6,你要认真听取老师的意见。,You should listen carefully to [your] teacher's opinions.,,,58268,0
17,吗,嗎,ma,"(question particle for ""yes-no"" questions)",1,1,3,2,7,你向她求婚了吗？,Did you ever pop the question to her.,,,12899,0
18,学生,學生,xué sheng,student/schoolchild,1,1,3,2,8,考试不能过份地催促学生。,The exam should not rush the student unduly.,,,3116,0
19,人,人,rén,"man/person/people/CL:個|个[gè],位[wèi]",1,1,3,3,9,这是幢适合于人居住的房子吗？,Is it a house fit for human habitation?,,,37663,0
20,美国,美國,měi guó,United States/USA/US,1,1,3,3,,美国用法在某些方面与英国用法不同。,American usage is different from British usage in some respects.,,3,1826,0
21,中国,中國,zhōng guó,China,1,1,3,3,,中国东临太平洋。,China faces the Pacific on the east.,,2,6323,0
22,她,她,tā,she,1,1,4,1,1,因为她生病，所以她没来上班。,"Because she was sick, she did not come to work.",,,5610,0
23,谁,誰,shéi,who/also pr. [shuí],1,1,4,1,2,谁来当裁判？,Who is going to umpire?,,,3597,0
24,的,的,de,of/~'s (possessive particle)/(used after an attribute)/(used to form a nominal expression)/(used at the end of a declarative sentence for emphasis),1,1,4,1,3,他们的学习小组正在活动。,Their study group is in motion.,,,266546,0
25,汉语,漢語,hàn yǔ,Chinese language/CL:門|门[mén],1,1,4,1,4,汉语有四声。,Chinese has four tones.,,,842,0
26,哪,哪,nǎ,how/which,1,1,4,2,5,这两套衣服你喜欢哪一套？,Which of these two suits do you like?,,,2641,0
27,国,國,guó,country/nation/state/national/CL:個|个[gè],1,1,4,2,6,害国殃民,Harm the nation and the country,,,1787,1
27,国,國,guó,surname Guo,1,1,4,2,6,害国殃民,Harm the nation and the country,,,1786,0
28,呢,呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")/particle for inquiring about location (""Where is ...?"")/particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?"")/(at the end of a declarative sentence) particle indicating continuation of a state or action/particle indicating strong affirmation",1,1,4,2,7,你怎样填写你的简历呢？,How do you organize your résumé?,,,8767,0
29,他,他,tā,he or him/(used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/other/another,1,1,4,3,8,听到他病了，我很难过。,I' m sorry to learn of his illness.,,,28513,0
30,同学,同學,tóng xué,"to study at the same school/fellow student/classmate/CL:位[wèi],個|个[gè]",1,1,4,3,9,我的同学十八岁。,My classmate is eighteen.,,,4661,0
31,朋友,朋友,péng you,"friend/CL:個|个[gè],位[wèi]",1,1,4,3,10,他直接到朋友那儿请求帮助。,He went straight to his friend to ask for help,,,2597,0
32,家,家,jiā,"home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[gè]",1,1,5,1,1,他们家晚餐吃烤猪肉。,The family had roast pork for dinner.,,,5035,1
32,家,傢,jiā,see 傢伙|家伙[jiā huo],1,1,5,1,1,他们家晚餐吃烤猪肉。,The family had roast pork for dinner.,,,5034,0
32,家,家,jiā,surname Jia,1,1,5,1,1,他们家晚餐吃烤猪肉。,The family had roast pork for dinner.,,,5034,0
33,有,有,yǒu,to have/there is/there are/to exist/to be,1,1,5,1,2,有一部分男孩学习很努力。,Some of the boys study hard.,,,35789,0
35,女儿,女兒,nǚ ér,daughter,1,1,5,2,4,我女儿酷爱滑雪。,My daughter loved skiing.,,,874,0
36,几,幾,jǐ,how much/how many/several/a few,1,1,5,2,5,你捉了几条鱼？,How many fish did you catch?,,,1347,0
37,岁,嵗,suì,"variant of 歲|岁[suì], year/years old",1,1,5,2,6,你几岁了？,How old are you?,,,2724,0
37,岁,歲,suì,classifier for years (of age)/year/year (of crop harvests),1,1,5,2,6,你几岁了？,How old are you?,,,2724,0
38,了,了,le,(modal particle intensifying preceding clause)/(completed action marker),1,1,5,2,7,他们仔细制订了学习计划。,They elaborated a plan of study.,,,46606,0
39,今年,今年,jīn nián,this year,1,1,5,2,8,我盼望今年暑假见到你。,I' m looking forward to seeing you this summer vacation.,,,441,0
40,多,多,duō,"many/much/often/a lot of/numerous/more/in excess/how (to what extent)/multi-/Taiwan pr. [duó] when it means ""how""",1,1,5,3,9,他有多高？,How tall is he?,,,21595,0
41,大,大,dà,big/huge/large/major/great/wide/deep/older (than)/oldest/eldest/greatly/very much/(dialect) father/father's elder or younger brother,1,1,5,3,10,你多大了？？,Could you tell me how old you are?,,,14830,0
